classification,avg_pnl,avg_trades,avg_size,days
Extreme Fear,52793.589177857146,1528.5714285714287,4091.8043663217154,14
Extreme Greed,23817.292198885963,350.8070175438597,4410.524481610627,114
Fear,36891.81804002198,679.5274725274726,6524.2949367587935,91
Greed,11140.566181093263,260.6373056994819,6735.295812914844,193
Neutral,19297.323515671644,562.4776119402985,7157.527121411409,67
